"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","97","unauthenticated user fails to update a book","","Tue Dec 31 12:52:29 UTC 2024","failed","Tue Dec 31 12:52:29 UTC 2024","","","",""
"As an admin or user
  I want to test book deletion functionality
  So that I can validate the API behavior for different roles and scenarios","83","User attempts to delete a book with an invalid ID","","Tue Dec 31 12:52:29 UTC 2024","failed","Tue Dec 31 12:52:29 UTC 2024","","","",""
"As an admin or user
  I want to test book deletion functionality
  So that I can validate the API behavior for different roles and scenarios","85","Admin attempts to delete a book with missing ID","","Tue Dec 31 12:52:28 UTC 2024","failed","Tue Dec 31 12:52:28 UTC 2024","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","84","Admin attempts to update a book with missing ID","","Tue Dec 31 12:52:29 UTC 2024","broken","Tue Dec 31 12:52:29 UTC 2024","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","82","User attempts to update a book with missing ID","","Tue Dec 31 12:52:30 UTC 2024","broken","Tue Dec 31 12:52:30 UTC 2024","","","",""
"As an admin or user
  I want to test book deletion functionality
  So that I can validate the API behavior for different roles and scenarios","88","Admin attempts to delete a book with an invalid ID","","Tue Dec 31 12:52:28 UTC 2024","failed","Tue Dec 31 12:52:28 UTC 2024","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","84","User attempts to update a book with missing author","","Tue Dec 31 12:52:30 UTC 2024","broken","Tue Dec 31 12:52:30 UTC 2024","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","109","Admin successfully updates a book","","Tue Dec 31 12:52:29 UTC 2024","passed","Tue Dec 31 12:52:29 UTC 2024","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","83","Admin attempts to update a book with an invalid ID","","Tue Dec 31 12:52:29 UTC 2024","passed","Tue Dec 31 12:52:29 UTC 2024","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","167","User fails to update a book","","Tue Dec 31 12:52:29 UTC 2024","failed","Tue Dec 31 12:52:29 UTC 2024","","","",""
"As an admin or user
  I want to test book deletion functionality
  So that I can validate the API behavior for different roles and scenarios","108","Admin successfully deletes a valid book","","Tue Dec 31 12:52:28 UTC 2024","failed","Tue Dec 31 12:52:28 UTC 2024","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","85","Admin attempts to update a book with missing title","","Tue Dec 31 12:52:29 UTC 2024","failed","Tue Dec 31 12:52:29 UTC 2024","","","",""
"As an admin or user
  I want to test book deletion functionality
  So that I can validate the API behavior for different roles and scenarios","182","User attempts to delete a book with valid details","","Tue Dec 31 12:52:28 UTC 2024","failed","Tue Dec 31 12:52:29 UTC 2024","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","84","Admin attempts to update a book with missing author","","Tue Dec 31 12:52:29 UTC 2024","failed","Tue Dec 31 12:52:30 UTC 2024","","","",""
"As an admin or user
  I want to test book deletion functionality
  So that I can validate the API behavior for different roles and scenarios","82","User attempts to delete a book with missing ID","","Tue Dec 31 12:52:29 UTC 2024","failed","Tue Dec 31 12:52:29 UTC 2024","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","85","User attempts to update a book with an invalid ID","","Tue Dec 31 12:52:29 UTC 2024","passed","Tue Dec 31 12:52:29 UTC 2024","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","82","User attempts to update a book with missing title","","Tue Dec 31 12:52:30 UTC 2024","broken","Tue Dec 31 12:52:30 UTC 2024","","","",""
"","445","Valid Create a new book","","Tue Dec 31 12:52:28 UTC 2024","passed","Tue Dec 31 12:52:28 UTC 2024","","","",""
"As an admin or user
  I want to test book deletion functionality
  So that I can validate the API behavior for different roles and scenarios","96","Unauthenticated user attempts to delete a book","","Tue Dec 31 12:52:29 UTC 2024","failed","Tue Dec 31 12:52:29 UTC 2024","","","",""
