"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a Authenticated and Unauthenticated user
 I want to test cart functionality
 So that I can validate the behavior for different roles and scenarios","4382","Authenticated user successfully decrease the quantity of a book in cart","","Fri Jan 03 11:14:28 UTC 2025","passed","Fri Jan 03 11:14:32 UTC 2025","","","",""
"","1123","After logged in, Remove Book from Wishlist","","Fri Jan 03 11:15:52 UTC 2025","broken","Fri Jan 03 11:15:53 UTC 2025","","","",""
"As a unauthenticated user
I want to test homepage functionality
So that I can filter price, search books and choose product category","935","Select Category","","Fri Jan 03 11:14:38 UTC 2025","passed","Fri Jan 03 11:14:39 UTC 2025","","","",""
"","1115","Before logged in, Wishlist icon shouldn't be visible","","Fri Jan 03 11:15:50 UTC 2025","broken","Fri Jan 03 11:15:51 UTC 2025","","","",""
"As a Authenticated and Unauthenticated user
 I want to test cart functionality
 So that I can validate the behavior for different roles and scenarios","2797","UnAuthenticated user successfully adds a book to cart via Home page","","Fri Jan 03 11:14:06 UTC 2025","passed","Fri Jan 03 11:14:09 UTC 2025","","","",""
"","1115","After logged in, Add to cart a Book from wishlist","","Fri Jan 03 11:15:54 UTC 2025","broken","Fri Jan 03 11:15:56 UTC 2025","","","",""
"As a unauthenticated user
I want to test homepage functionality
So that I can filter price, search books and choose product category","535","Search a book from the search bar","","Fri Jan 03 11:14:39 UTC 2025","passed","Fri Jan 03 11:14:39 UTC 2025","","","",""
"As a Authenticated and Unauthenticated user
 I want to test Book details view functionality
 So that I can validate the behavior for different roles and scenarios.","60629","Select two random books and check if their details are displayed","","Fri Jan 03 11:14:49 UTC 2025","broken","Fri Jan 03 11:15:50 UTC 2025","","","",""
"As a Authenticated and Unauthenticated user
 I want to test cart functionality
 So that I can validate the behavior for different roles and scenarios","6395","Authenticated user successfully adds a book to cart via Home page","","Fri Jan 03 11:14:00 UTC 2025","passed","Fri Jan 03 11:14:06 UTC 2025","","","",""
"As a Authenticated and Unauthenticated user
 I want to test cart functionality
 So that I can validate the behavior for different roles and scenarios","7031","Authenticated user successfully removes a book from cart","","Fri Jan 03 11:14:09 UTC 2025","passed","Fri Jan 03 11:14:16 UTC 2025","","","",""
"As a Authenticated and Unauthenticated user
 I want to test cart functionality
 So that I can validate the behavior for different roles and scenarios","4385","Authenticated user successfully increase the quantity of a book in cart","","Fri Jan 03 11:14:16 UTC 2025","failed","Fri Jan 03 11:14:21 UTC 2025","","","",""
"As a Authenticated and Unauthenticated user
 I want to test cart functionality
 So that I can validate the behavior for different roles and scenarios","3598","Authenticated user clears the cart","","Fri Jan 03 11:14:21 UTC 2025","passed","Fri Jan 03 11:14:24 UTC 2025","","","",""
"","4832","User registration with valid data","","Fri Jan 03 11:14:45 UTC 2025","passed","Fri Jan 03 11:14:49 UTC 2025","","","",""
"As a Authenticated and Unauthenticated user
 I want to test cart functionality
 So that I can validate the behavior for different roles and scenarios","3501","Authenticated user checks out the cart","","Fri Jan 03 11:14:24 UTC 2025","passed","Fri Jan 03 11:14:28 UTC 2025","","","",""
"","1117","After logged in, Add Book to Wishlist, Remove and Add to Cart","","Fri Jan 03 11:15:51 UTC 2025","broken","Fri Jan 03 11:15:52 UTC 2025","","","",""
"","1519","User login with invalid credentials","","Fri Jan 03 11:14:43 UTC 2025","passed","Fri Jan 03 11:14:45 UTC 2025","","","",""
"","3523","User login with valid credentials","","Fri Jan 03 11:14:39 UTC 2025","passed","Fri Jan 03 11:14:43 UTC 2025","","","",""
"As a unauthenticated user
I want to test homepage functionality
So that I can filter price, search books and choose product category","305","Price filter","","Fri Jan 03 11:14:39 UTC 2025","passed","Fri Jan 03 11:14:39 UTC 2025","","","",""
"As a Authenticated and Unauthenticated user
 I want to test cart functionality
 So that I can validate the behavior for different roles and scenarios","2833","UnAuthenticated user successfully adds a book to cart via Iten Detail page","","Fri Jan 03 11:14:35 UTC 2025","passed","Fri Jan 03 11:14:38 UTC 2025","","","",""
"As a Authenticated and Unauthenticated user
 I want to test cart functionality
 So that I can validate the behavior for different roles and scenarios","2800","Authenticated user successfully adds a book to cart via Item detail Page","","Fri Jan 03 11:14:32 UTC 2025","passed","Fri Jan 03 11:14:35 UTC 2025","","","",""
"","1126","After logged in, Clear Wishlist","","Fri Jan 03 11:15:53 UTC 2025","broken","Fri Jan 03 11:15:54 UTC 2025","","","",""
